index,month,day,seaice_extent_mean,seaice_extent_std,date
0,1,1,511126.856559928,0.0,01-01
1,1,2,511126.856559928,0.0,01-02
2,1,3,511086.5726042897,224.2915725966062,01-03
3,1,4,511126.856559928,0.0,01-04
4,1,5,511126.856559928,0.0,01-05
5,1,6,511126.856559928,0.0,01-06
6,1,7,511126.856559928,0.0,01-07
7,1,8,511126.856559928,0.0,01-08
8,1,9,511126.856559928,0.0,01-09
9,1,10,511126.856559928,0.0,01-10
10,1,11,511106.4325918549,113.7158415852044,01-11
11,1,12,511126.856559928,0.0,01-12
12,1,13,511126.856559928,0.0,01-13
13,1,14,511106.2936951733,114.48918557914203,01-14
14,1,15,511106.56240574474,112.99306843509362,01-15
15,1,16,511126.856559928,0.0,01-16
16,1,17,511126.856559928,0.0,01-17
17,1,18,511106.4361515359,113.69602212011037,01-18
18,1,19,511126.856559928,0.0,01-19
19,1,20,511046.1766012664,352.8539408264707,01-20
20,1,21,511126.856559928,0.0,01-21
21,1,22,511126.856559928,0.0,01-22
22,1,23,511126.856559928,0.0,01-23
23,1,24,511126.856559928,0.0,01-24
24,1,25,511126.856559928,0.0,01-25
25,1,26,511106.27144619235,114.61306266216835,01-26
26,1,27,511126.856559928,0.0,01-27
27,1,28,511126.856559928,0.0,01-28
28,1,29,511126.856559928,0.0,01-29
29,1,30,511126.856559928,0.0,01-30
30,1,31,511106.5771451374,112.91100296980501,01-31
31,2,1,511126.856559928,0.0,02-01
32,2,2,511126.856559928,0.0,02-02
33,2,3,511126.856559928,0.0,02-03
34,2,4,511106.51262293436,113.27024739273543,02-04
35,2,5,511126.856559928,0.0,02-05
36,2,6,511126.856559928,0.0,02-06
37,2,7,511106.53609163145,113.13957921740462,02-07
38,2,8,511126.856559928,0.0,02-08
39,2,9,511126.856559928,0.0,02-09
40,2,10,511006.64195928286,669.3265693640033,02-10
41,2,11,511126.856559928,0.0,02-11
42,2,12,511126.856559928,0.0,02-12
43,2,13,511126.856559928,0.0,02-13
44,2,14,511106.2192829199,114.90349547135715,02-14
45,2,15,511106.7090861952,112.1763862502321,02-15
46,2,16,511106.3175403308,114.3564213604882,02-16
47,2,17,511126.856559928,0.0,02-17
48,2,18,511106.52773753606,113.18609285197091,02-18
49,2,19,511126.856559928,0.0,02-19
50,2,20,511106.2662059355,114.6422391771565,02-20
51,2,21,511126.856559928,0.0,02-21
52,2,22,511106.3061128552,114.42004685204662,02-22
53,2,23,511086.83256819687,222.8441548187393,02-23
54,2,24,511106.49040311633,113.39396210350026,02-24
55,2,25,511126.856559928,0.0,02-25
56,2,26,510737.7288577,2166.57135305477,02-26
57,2,27,511045.015546696,455.6714768907278,02-27
